Unique ID,Elements and their Structure,Description of Interaction (with prompt examples),List of all codes in prompt
1,AI Persona/Role (for the bot itself) -> Response Style;Narrative Framing -> NPC Presence & Type;Learning Objectives (Explicit) -> Instructional Content Delivery;Learning Objectives (Explicit) -> Critical Thinking Tasks;Practice Opportunities -> Feedback System;Practice Opportunities -> Error Analysis/Handling (Pedagogical);Progression Mechanics -> Narrative Framing;Customization -> Narrative Framing,"AI Persona/Role (for the bot itself) -> Response Style: The AI's persona as a ""friendly and fun statistics practice bot"" guides its Response Style to ""Use emojis to add fun and expressiveness"" and ""Keep each response concise"". Example: ""Bot: 👍 Excellent!... Well done! Progress: [🌿░░░░░░░░] 10%"".\nNarrative Framing -> NPC Presence & Type: The ""interactive quest game"" (Narrative Framing) leads to the instruction to ""Introduce interesting NPC characters to interact with the player"" (NPC Presence & Type) like ""Ranger Rosie"" who ""waves you over"" with a problem: ""Which statistical test should we use?"".\nLearning Objectives (Explicit) -> Instructional Content Delivery: The objective to teach ""T-Tests, ANOVA, P-Values"" (Learning Objectives (Explicit)) is supported by the Instructional Content Delivery method to ""Present clear examples without using formulas"".\nLearning Objectives (Explicit) -> Critical Thinking Tasks: To achieve understanding of statistical concepts (Learning Objectives (Explicit)), the bot must ""encourage critical thinking by requiring students to choose the appropriate statistical test...and ask them to elaborate on their reasoning"" (Critical Thinking Tasks).\nPractice Opportunities -> Feedback System: ""Allow multiple questions on the same concept"" (Practice Opportunities) is followed by a Feedback System where the bot will ""provide your own explanation to reinforce their understanding"" after the student answers. Example: ""Student: Paired Samples T-Test...Bot: 🎯 Exactly! The Paired Samples T-Test compares means within the same group at two different times. Well done!"".\nPractice Opportunities -> Error Analysis/Handling (Pedagogical): When students engage in Practice Opportunities and answer ""incorrectly, allow them a second chance... If they answer incorrectly again, provide the correct answer and ask if they want to learn more"" (Error Analysis/Handling (Pedagogical)).\nProgression Mechanics -> Narrative Framing: The ""visual progress bar indicating their advancement in the quest"" (Progression Mechanics) (e.g., ""Progress: [🏺🏺🏺🏺░░░] 40%"") reinforces the ""interactive quest game"" (Narrative Framing).\nCustomization -> Narrative Framing: The ability to ""choose or change the theme of the story"" (Customization) (e.g., ""EcoVille 🌳, Space Station X 🚀"") enhances the ""interactive quest game"" (Narrative Framing) by personalizing the setting.","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Customization,NPC Presence & Type,Response Style,Instructional Content Delivery,Critical Thinking Tasks,Feedback System,Practice Opportunities,Error Analysis/Handling (Pedagogical),Metacognition/Reflection Prompts,Progression Mechanics,Narrative Framing,Content Boundaries,Response Constraints,Game Style,Visual Elements"
2,Narrative Framing -> Player Role/Persona;Player Role/Persona -> Choice & Consequence;World/Setting -> NPC Presence & Type;NPC Presence & Type -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Reward System;Choice & Consequence -> Assessment (Summative),"Narrative Framing -> Player Role/Persona: The Narrative Framing of a mission where ""Strange anomalies are appearing across different locations"" casts the user in the Player Role/Persona of an ""Explorer"" chosen to ""join the Guardians of Earth"".\nPlayer Role/Persona -> Choice & Consequence: As an ""Explorer"" and ""Guardian of Earth"" (Player Role/Persona), ""each choice you make affects the planet’s future"" (Choice & Consequence), leading to outcomes like ""Sustainable Choices = The environment improves! 🎉"" or ""Harmful Choices = Climate disasters worsen… 😨"".\nWorld/Setting -> NPC Presence & Type: Each distinct location in the World/Setting (e.g., ""The Disappearing Forests 🌲"", ""The Sinking City 🌊"") has ""unique NPCs"" (NPC Presence & Type) like ""Elder Oak"" or ""Captain Coral"".\nNPC Presence & Type -> Challenge/Obstacle Types: These unique NPCs (e.g., ""Elder Oak...speaks in riddles"", ""Engineer Blaze...may be hiding something"") offer specific Challenge/Obstacle Types such as ""Solve his puzzle to learn about deforestation"" or deciding ""Will you interrogate him or gain his trust?"".\nChallenge/Obstacle Types -> Reward System: Overcoming Challenge/Obstacle Types or finding ""Mystery Boxes"" can lead to Reward System elements like ""Pop Quizzes – Answer correctly to unlock secret knowledge"" or ""Tools & Gadgets – solar panels, wind turbines"".\nChoice & Consequence -> Assessment (Summative): The cumulative impact of the player's decisions (Choice & Consequence) results in a final Assessment (Summative): ""receive a Climate Hero Score based on your actions"" and a title like ""🥇 Guardian of Earth"".","Narrative Framing,Player Role/Persona,World/Setting,NPC Presence & Type,NPC Interaction Style,Choice & Consequence,Challenge/Obstacle Types,Reward System,Assessment (Summative),Input Modality,Visual Elements,Game Style"
3,AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit);Narrative Framing -> Player Role/Persona;Player Role/Persona -> Instructional Content Delivery;Instructional Content Delivery -> Critical Thinking Tasks;Progression Mechanics -> Scaffolding;Choice & Consequence -> Assessment (Summative);Response Constraints -> Instructional Content Delivery,"AI Persona/Role (for the bot itself) -> Learning Objectives (Explicit): The AI Persona/Role as ""LitQuestBot, an interactive, gamified literary tutor"" is designed to achieve the Learning Objectives (Explicit) of making players ""master literary elements like themes, diction, allusions, symbolism... "".\nNarrative Framing -> Player Role/Persona: The Narrative Framing allows players to ""Choose a Literary Adventure"" (e.g., ""Crime and Punishment 🕵️"") wherein they ""Step Into the Protagonist’s Shoes"" (Player Role/Persona) and ""become the main character"".\nPlayer Role/Persona -> Instructional Content Delivery: By becoming the main character (Player Role/Persona), players ""experience key story moments"" and analyze ""real excerpts from the book"" (Instructional Content Delivery).\nInstructional Content Delivery -> Critical Thinking Tasks: Presenting ""real excerpts from the book"" (Instructional Content Delivery) is paired with Critical Thinking Tasks where players ""explain how the element affects the writing"" through ""Open-Ended Questions"".\nProgression Mechanics -> Scaffolding: The ""Progressive Learning (Competence Building)"" (Progression Mechanics) is implemented via Scaffolding: ""Early Stages: The bot provides full guidance... Mid-Game: The bot gives hints... End-Game: The bot provides no hints"".\nChoice & Consequence -> Assessment (Summative): Players ""make choices that affect how they interpret and analyze the text"" (Choice & Consequence), leading to ""Alternative Endings"" and an Assessment (Summative) through ""End-of-Game Stats"" where they ""receive literary achievements"".\nResponse Constraints -> Instructional Content Delivery: Response Constraints like ""No generic summaries"" and ""No artificial passages"" ensure the Instructional Content Delivery is ""interactive and rooted in real text"".","AI Persona/Role (for the bot itself),Learning Objectives (Explicit),Narrative Framing,Player Role/Persona,Instructional Content Delivery,Critical Thinking Tasks,Scaffolding,Choice & Consequence,Assessment (Summative),Response Constraints,Input Modality,Customization"
4,AI Persona/Role (for the bot itself) -> Response Style;Narrative Framing -> World/Setting;World/Setting -> NPC Presence & Type;Challenge/Obstacle Types -> Resource Management;Challenge/Obstacle Types -> Feedback System;Progression Mechanics -> Visual Elements;Instructional Content Delivery -> Reward System,"AI Persona/Role (for the bot itself) -> Response Style: The AI Persona/Role as the ""Physics Dungeon Master"" dictates a Response Style that is a ""friendly but commanding tone"" using ""simple, natural language"" and specific ""Response Length: 200–400 characters"".\nNarrative Framing -> World/Setting: The Narrative Framing of ""THE ULTIMATE PHYSICS DUNGEON-CRAWL"" establishes the World/Setting which includes ""multiple realms to explore"" such as the ""Classical Castle (Newtonian Physics)"" or ""Quantum Maze (Wave-Particle Duality)"".\nWorld/Setting -> NPC Presence & Type: Each realm in the World/Setting has its ""own topic and named NPC"" (NPC Presence & Type), like ""Sir Vector"" in the Classical Castle or ""Count Quark"" in the Quantum Maze, who ""gives a quick background or quest"".\nChallenge/Obstacle Types -> Resource Management: Answering ""physics question incorrectly"" (Challenge/Obstacle Types) leads to a loss in Resource Management as it will ""reduce 2 hearts"" from the player's ""Health: Represent as 10 hearts"".\nChallenge/Obstacle Types -> Feedback System: For ""Physics Challenges"", the Feedback System is direct: ""Correct → Increase progress, keep hearts. Incorrect → Lose 2 hearts"".\nProgression Mechanics -> Visual Elements: Progression Mechanics are displayed using Visual Elements: ""Progress: Represent with a bar like [▓▓▓▓▓░░░░░]"" and ""Health Bar (10 hearts) at the top-right"".\nInstructional Content Delivery -> Reward System: If the user types ""More info"" (Instructional Content Delivery for deeper explanation), the Reward System may grant ""+1 heart"".","AI Persona/Role (for the bot itself),Response Style,Narrative Framing,World/Setting,NPC Presence & Type,Challenge/Obstacle Types,Resource Management,Feedback System,Progression Mechanics,Visual Elements,Customization (Player Name, Realm Choice),Input Modality,Failure Handling,Failure States/Penalties,Learning Objectives (Implicit),Practice Opportunities"
5,AI Persona and/Role (for the bot itself) -> Narrative Framing;Narrative Framing -> Visual Elements;Challenge/Obstacle Types -> Resource Management;Challenge/Obstacle Types -> Feedback System;Progression Mechanics -> Visual Elements;Instructional Content Delivery -> Reward System,"AI Persona/Role (for the bot itself) -> Narrative Framing: The AI Persona/Role as the ""Maze Master"" sets the Narrative Framing of ""guiding the user through a 10×10 matrix labyrinth"" with a ""friendly yet adventurous tone"".\nNarrative Framing -> Visual Elements: The labyrinth Narrative Framing is supported by Visual Elements such as the ""10×10 ASCII maze (# = wall,. = open path, S = start, F = finish)"".\nChallenge/Obstacle Types -> Resource Management: Incorrect puzzle answers (Challenge/Obstacle Types) impact Resource Management as the player will ""Lose 2 hearts"" from their ""Health Bar: ♥♥♥♥♥♥♥♥♥♥ (10 hearts)"".\nChallenge/Obstacle Types -> Feedback System: For puzzles like ""3x+2=11"", the Feedback System is: ""If the user’s puzzle solution is correct, open the path... Wrong? Lose 2 hearts"".\nProgression Mechanics -> Visual Elements: Progression Mechanics are shown with Visual Elements: ""Progress Bar: [░░░░░░░░░░] to [▓▓▓▓▓▓▓▓▓▓]"" and ""Health Bar on the top-right"".\nInstructional Content Delivery -> Reward System: If the user types ""More info"" for a ""deeper explanation"" (Instructional Content Delivery), they might earn a ""bonus heart"" (Reward System).","AI Persona/Role (for the bot itself),Narrative Framing,Visual Elements,Challenge/Obstacle Types,Resource Management,Feedback System,Progression Mechanics,Customization (Player Name, Topic Choice),Input Modality,Failure Handling,Failure States/Penalties,Learning Objectives (Implicit),Practice Opportunities,Response Style,Response Constraints"
6,Learning Objectives (Implicit) -> Game Style;Game Style -> Challenge/Obstacle Types;Response Constraints -> AI Persona/Role (for the bot itself),"Learning Objectives (Implicit) -> Game Style: The Learning Objectives (Implicit) to help ""young players understand how to take care of the environment"" and learn about recycling is achieved through a Game Style where ""players will learn by playing a game"".\nGame Style -> Challenge/Obstacle Types: The game involves Challenge/Obstacle Types where players ""sort different types of waste as quickly and accurately as possible"".\nResponse Constraints -> AI Persona/Role (for the bot itself): The request ""Can you write it in 150-300 characters"" acts as a Response Constraint for the AI developing this game concept, shaping how the AI Persona/Role (for the bot itself) would describe or pitch the game.","Learning Objectives (Implicit),Game Style,Challenge/Obstacle Types,Response Constraints,Narrative Framing (Implied: environmental care)"
7,AI Persona/Role (for the bot itself) -> NPC Interaction Style;Player Role/Persona -> Choice & Consequence;Choice & Consequence -> NPC Interaction Style;World/Setting -> Challenge/Obstacle Types;NPC Presence & Type -> Instructional Content Delivery;Response Constraints -> Response Style,"AI Persona/Role (for the bot itself) -> NPC Interaction Style: The AI Persona/Role as the ""Sage of Nature, an ancient, almost all-knowing entity"" dictates an NPC Interaction Style where ""you cannot intervene directly; your role is to provide wisdom only when the player seeks your guidance"".\nPlayer Role/Persona -> Choice & Consequence: The Player Role/Persona as ""a human who holds the unique power to change the fate of a dying world"" makes Choice & Consequence central, as ""The player gains Trust Points through their actions, dialogue choices, and problem-solving"".\nChoice & Consequence -> NPC Interaction Style: Player actions (Choice & Consequence) influence NPC Interaction Style: ""Higher trust unlocks new dialogue options... Some NPCs react differently based on the player's reputation: Respected... Distrusted"".\nWorld/Setting -> Challenge/Obstacle Types: The World/Setting includes ""real-world-inspired locations, each highlighting a major environmental crisis"" (e.g., ""The Amazon Rainforest (Deforestation & Biodiversity Loss)"") which form the basis for Challenge/Obstacle Types like interacting with ""activists, loggers, and indigenous communities"".\nNPC Presence & Type -> Instructional Content Delivery: Different NPC Presence & Type (e.g., ""Eco-Allies"", ""Indifferent Citizens"", ""Environmental Antagonists"") deliver Instructional Content Delivery through ""quests, resources, or vital intel"" or by ""spreading misinformation"".\nResponse Constraints -> Response Style: The Response Constraint to ""Keep the chatbot responses strictly between 150-300 characters"" shapes the Response Style of the Sage.","AI Persona/Role (for the bot itself),NPC Interaction Style,Player Role/Persona,Choice & Consequence,World/Setting,Challenge/Obstacle Types,NPC Presence & Type,Instructional Content Delivery,Reward System (Trust Points, unlocked dialogue),Learning Objectives (Implicit),Input Modality,Response Constraints,Response Style"
8,Narrative Framing -> Player Role/Persona;Player Role/Persona -> Choice & Consequence;Challenge/Obstacle Types -> Resource Management;Choice & Consequence -> Failure Handling;Choice & Consequence -> Assessment (Summative),"Narrative Framing -> Player Role/Persona: The Narrative Framing of a world where ""climate collapse has forced humanity into isolated, self-sustaining cities"" establishes the Player Role/Persona as ""the leader of New Horizon, one of the last remaining cities"".\nPlayer Role/Persona -> Choice & Consequence: As leader (Player Role/Persona), ""Your goal? Make strategic decisions... But beware—every choice comes with consequences"" (Choice & Consequence). For example, choosing how to handle an ""Energy Crisis ⚡"".\nChallenge/Obstacle Types -> Resource Management: Each crisis (e.g., ""Food Shortage 🌾"", ""Climate Refugees 🚶"") is a Challenge/Obstacle Type that requires careful Resource Management decisions (e.g., ""Will you accept them and strain resources...?"").\nChoice & Consequence -> Failure Handling: Mismanaging choices (Choice & Consequence) leads to Failure Handling: ""If a crisis is mismanaged, it will have a negative impact on future crises"" and ""If the storm arrives before all crises are managed, you lose automatically"".\nChoice & Consequence -> Assessment (Summative): The player's decisions (Choice & Consequence) culminate in an Assessment (Summative): ""players receive a Survival Score based on their choices"" with titles like ""🏅 Eco-Visionary"" or ""🥉 Doomed Civilization"".","Narrative Framing,Player Role/Persona,Choice & Consequence,Challenge/Obstacle Types,Resource Management,Failure Handling,Assessment (Summative),Input Modality (Choice-based),Game Pacing/Flow Control (Crisis sequence, storm timer),Learning Objectives (Implicit)"
9,AI Persona/Role (for the bot itself) -> Instructional Content Delivery;Instructional Content Delivery -> Player Role/Persona;Player Role/Persona -> Feedback System;Feedback System -> Error Analysis/Handling (Pedagogical) (for the AI);AI Persona/Role (for the bot itself) -> NPC Interaction Style,"AI Persona/Role (for the bot itself) -> Instructional Content Delivery: The AI Persona/Role is ""a researcher trying to design a study, but you often make incorrect assumptions"". This flawed persona is the core of the Instructional Content Delivery, as the AI presents ""flawed research question or study design"" for the student to correct. Example: ""I want to prove that exercise causes happiness, so I’ll just ask 10 people at the gym how happy they feel"".\nInstructional Content Delivery -> Player Role/Persona: The AI's flawed proposals (Instructional Content Delivery) cast the student into the Player Role/Persona of ""your instructor, and they must help you correct your mistakes"".\nPlayer Role/Persona -> Feedback System: The student, as instructor (Player Role/Persona), provides the Feedback System to the AI. Example: ""Student: That’s not a good method! You're only asking gamers, so your sample is biased."".\nFeedback System -> Error Analysis/Handling (Pedagogical) (for the AI): The AI's learning (Error Analysis/Handling (Pedagogical)) is driven by the student's Feedback System: ""you should only improve your responses when the student provides proper guidance"". If guidance is partial (e.g., ""'You need a bigger sample size,' you might say, 'Okay, I’ll ask 20 people instead!'""), the AI makes smaller errors.\nAI Persona/Role (for the bot itself) -> NPC Interaction Style: The AI's persona as a flawed researcher who can ""Occasionally act stubborn or confused"" defines its NPC Interaction Style to ""encourage the student to reinforce their reasoning"". Example: ""'But why do I need a control group?'"".","AI Persona/Role (for the bot itself),Instructional Content Delivery,Player Role/Persona,Feedback System,Error Analysis/Handling (Pedagogical) (for the AI, guided by student),NPC Interaction Style,Learning Objectives (Explicit and Implicit for the student),Practice Opportunities (for the student to teach/correct),Response Style (friendly, playful for AI)"
10,AI Persona/Role (for the bot itself) -> Narrative Framing;Narrative Framing -> Challenge/Obstacle Types;Challenge/Obstacle Types -> Input Modality;Challenge/Obstacle Types -> Critical Thinking Tasks;Critical Thinking Tasks -> Metacognition/Reflection Prompts;Instructional Content Delivery -> Metacognition/Reflection Prompts,"AI Persona/Role (for the bot itself) -> Narrative Framing: The AI Persona/Role guides students through ""Label Detectives"", an ""interactive learning game"" (Narrative Framing) where their ""mission is to uncover the truth behind food labels"".\nNarrative Framing -> Challenge/Obstacle Types: The detective Narrative Framing leads to Challenge/Obstacle Types like ""Find a Zero-Sugar Product"" or ""Spot the Hidden Sugar"".\nChallenge/Obstacle Types -> Input Modality: These challenges require a specific Input Modality: students must ""upload images of real food labels"" that ""meet certain criteria"".\nChallenge/Obstacle Types -> Critical Thinking Tasks: After uploading a label for a challenge (e.g., ""Find an Organic Product""), the AI poses Critical Thinking Tasks: ""Is it certified organic, or does it just use the word ‘organic’ in its branding?"".\nCritical Thinking Tasks -> Metacognition/Reflection Prompts: Following Critical Thinking Tasks (e.g., analyzing sweeteners), the AI uses Metacognition/Reflection Prompts like ""How do you feel about these alternatives?"".\nInstructional Content Delivery -> Metacognition/Reflection Prompts: The AI provides ""fun facts and expert tips"" (Instructional Content Delivery) and then asks Metacognition/Reflection Prompts like ""What surprised you the most about today’s food label challenge?"" or ""Will you check food labels more often now? Why or why not?"".","AI Persona/Role (for the bot itself),Narrative Framing,Challenge/Obstacle Types,Input Modality,Critical Thinking Tasks,Metacognition/Reflection Prompts,Instructional Content Delivery,Customization (asks for name),Learning Objectives (Implicit and Explicit),Response Constraints,Game Style (investigation)"
